run_id,axis,dir,t,gx,gy,gz,idx_ss,theta_ref_x,theta_ref_y,theta_ref_z
1,x,1,0.0,0.007491351808507195,-0.005039701768451034,0.00292685013608666,0,2.0999999999999996,0.0,0.0
1,x,1,0.005,0.01579332615259153,-0.005202370143546346,0.004254189688363337,0,2.0999999999999996,0.0,0.0
1,x,1,0.01,0.02234815930973797,-0.0058362039717095296,0.0030406624797763766,0,2.0999999999999996,0.0,0.0
1,x,1,0.015,0.02817634322315312,-0.005281002600654063,0.0036580762419473247,0,2.0999999999999996,0.0,0.0
1,x,1,0.02,0.03716629257705716,-0.0038851818125530523,0.0035819751904190926,0,2.0999999999999996,0.0,0.0
1,x,1,0.025,0.04305766933945824,-0.006524703563197768,0.004148928843901622,0,2.0999999999999996,0.0,0.0
1,x,1,0.03,0.05167029990365945,-0.0061245901527114625,0.006413674431837768,0,2.0999999999999996,0.0,0.0
1,x,1,0.035,0.05859390830685423,-0.005005835753725396,0.004107938388185423,0,2.0999999999999996,0.0,0.0
1,x,1,0.04,0.06645864191987899,-0.006400513438110332,0.0034610509010947255,0,2.0999999999999996,0.0,0.0
1,x,1,0.045,0.0734864137848325,-0.006207476692345732,0.004460700257086983,0,2.0999999999999996,0.0,0.0
1,x,1,0.05,0.08073381483254324,-0.005946837250798841,0.004047947587412507,0,2.0999999999999996,0.0,0.0
1,x,1,0.055,0.08606863554571115,-0.004669202367167856,0.0038574342976666585,0,2.0999999999999996,0.0,0.0
1,x,1,0.06,0.09380534608892119,-0.005768026241674648,0.0045656091769241056,0,2.0999999999999996,0.0,0.0
1,x,1,0.065,0.10223866171549763,-0.006281585159457759,0.005789780618844367,0,2.0999999999999996,0.0,0.0
1,x,1,0.07,0.10787926965472855,-0.005678913509483836,0.004094818224557183,0,2.0999999999999996,0.0,0.0
1,x,1,0.075,0.11784510131086584,-0.006703012635078742,0.004031963386948501,0,2.0999999999999996,0.0,0.0
1,x,1,0.08,0.12262657807624953,-0.006599745431607981,0.004685330893190145,0,2.0999999999999996,0.0,0.0
1,x,1,0.085,0.1311193503471984,-0.006034177876948138,0.0045633028410664135,0,2.0999999999999996,0.0,0.0
1,x,1,0.09,0.13652502014339402,-0.006961648555981441,0.004488000925929094,0,2.0999999999999996,0.0,0.0
1,x,1,0.095,0.1439646746431131,-0.004626120481025681,0.0033480445845591187,0,2.0999999999999996,0.0,0.0
