t,gx,gy,gz,ax,ay,az,temp
0.0,0.008365660495705318,-0.007455977748736694,0.004825496315387103,0.020634746742950287,0.10210178672829065,9.983701881595291,25.0
0.01,0.009128677659669456,-0.00873144926411537,0.00256760254245145,-0.014816794695866761,0.052024880555566894,10.014422109482139,25.000094247773408
0.02,0.008153408483800743,-0.006442739629281016,0.003981518726745283,0.004457333028685657,0.07479377366307852,9.969097230649114,25.000188495509605
0.03,0.006976347286911704,-0.00476884283519204,0.004855571128971843,0.013452410678896473,0.03709111935368167,10.00051651513422,25.00028274317139
0.04,0.00807923683707346,-0.004421862310244754,0.00451426027647725,0.052787208817686185,0.01872235135455174,9.996160241009939,25.000376990721552
0.05,0.006968849044540114,-0.0054837489022845015,0.002945229139088101,-0.03669257316931874,0.06215905328744962,10.03864665329248,25.00047123812288
0.06,0.009054140361568727,-0.006069896275380754,0.0037966514001002137,0.006636453565328091,0.05460510610660142,10.047612074529665,25.000565485338175
0.07,0.007182884546715271,-0.004288442125856358,0.003830017569724318,0.011461873043164336,0.08082099957673068,10.027991436379043,25.000659732330224
0.08,0.007486006613404272,-0.0064929869706835215,0.004585540104108683,-0.08474041212470283,0.05572642344261343,9.970604816995795,25.000753979061823
0.09,0.008438532877236895,-0.005422174343765617,0.004473903103308671,-0.023332706824705854,0.0991615610051082,9.993109422549676,25.000848225495762
0.1,0.010569977121044554,-0.006568981022938462,0.0034365329980213088,0.05832384587418023,0.01845787423241603,9.970425735031123,25.000942471594833
0.11,0.007023472726102547,-0.005137628808394306,0.005241869521992981,0.02441731982855911,0.048314747446761744,10.014937674771232,25.001036717321835
0.12,0.00786326305081415,-0.0071762190677475395,0.0030930706627396365,-0.0018224047910925046,0.05388101533695177,9.995367645800572,25.001130962639554
0.13,0.00878071134538964,-0.004959444160315181,0.0045974696951357145,0.006931600812232103,0.07583902205078126,10.056764708831118,25.00122520751079
0.14,0.0072013883512535674,-0.005674974147706593,0.004128354390054801,-0.004528576060284531,0.04685127772219547,9.988384430193307,25.00131945189833
0.15,0.008262426316074815,-0.0047799997108725345,0.00424595510365215,0.04564031565097496,0.07720224711918688,9.944334130353978,25.00141369576497
0.16,0.008814696275686274,-0.005905389302715552,0.004318031338558983,-0.05674682108389145,0.03463152937405359,10.012467854209739,25.00150793907351
0.17,0.008757545871006248,-0.008040018147797933,0.0036483616620069685,0.0005426958234392841,0.07228694945162305,9.999489009850134,25.001602181786737
0.18,0.007435552814848646,-0.006894428987540679,0.003697343523650648,0.043469363141368275,0.07949226860567243,10.0075856514277,25.00169642386745
0.19,0.009793929573481274,-0.00721216356197054,0.0050651061900506295,0.03590698291602316,0.011703775719173803,10.002380809194712,25.00179066527844
0.2,0.005980556274061034,-0.006468839041980085,0.004179028371615506,0.005672169183839558,0.07473017199867024,9.950217887909483,25.001884905982504
0.21,0.008703466797631135,-0.005004282788290003,0.004872681958719918,-0.006265407206234447,0.06908605229783008,10.020372388044713,25.001979145942435
0.22,0.007581529913301875,-0.006647292509730394,0.00494377346938287,0.037130695243626034,0.07919529930738885,10.003156126420093,25.002073385121033
0.23,0.0077704348101420625,-0.007785960852673091,0.0027533840645961715,0.021796012468462644,0.052234968204470274,10.00979996648841,25.002167623481093
0.24,0.006896657256798067,-0.005303974958324731,0.004156668309677622,0.025390870504420876,0.05660472779073479,10.016686869745017,25.002261860985406
